,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
11429,681462729,False,finalized,3,2/25/15 3:07,positive,1.0,,,US Airways,,CaraModisett,,0,@USAirways she also appreciated having her very own hashtag! :) #lucycat,,2/18/15 10:55,5.68122e+17,"Memphis, Tennessee",Central Time (US & Canada)
9717,681461003,False,finalized,3,2/25/15 3:20,negative,1.0,Can't Tell,0.3464,US Airways,,LarrySandeen,,0,"@USAirways Just discovered that they billed us $300 for the rescheduled flight, which cost me a second day of lost work.","[0.0, 0.0]",2/22/15 19:24,5.69699e+17,Southeastern Pennsylvania USA,
10153,681461443,False,finalized,3,2/25/15 6:20,negative,1.0,Can't Tell,1.0,US Airways,,burseka,,0,@USAirways u guys suck,,2/22/15 7:28,5.69519e+17,,
975,681449647,False,finalized,3,2/25/15 2:14,negative,1.0,Can't Tell,1.0,United,,artistanxiety,,0,@united I will but right now I'm to angry,,2/23/15 14:09,5.69982e+17,Punk is the preacher.,Arizona
1511,681450373,False,finalized,3,2/25/15 6:57,negative,1.0,Can't Tell,0.6848,United,,axelrodaj,,0,@united not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge,"[33.94077727, -118.39921036]",2/22/15 18:50,5.69691e+17,San Francisco,Pacific Time (US & Canada)
12161,681677308,False,finalized,3,2/25/15 19:20,negative,1.0,Cancelled Flight,0.6632,American,,mmanny,,0,@AmericanAir You Cancelled Flight my flight and thereÛªs no way to rebook on the website or app? I have to wait 35 minutes on hold? #fail cc @Delta,,2/24/15 9:20,5.70272e+17,NYC,Eastern Time (US & Canada)
1561,681450424,False,finalized,3,2/25/15 2:13,negative,1.0,Lost Luggage,1.0,United,,mustardman123,,0,@united I need help with a missing bag.,,2/22/15 17:08,5.69665e+17,"Cincinnati, OH",Quito
9437,681460722,False,finalized,3,2/25/15 4:14,negative,1.0,Lost Luggage,0.6528,US Airways,,johnhughesrocks,,0,@USAirways yes. It says bag is being delivered. The local number says Not Open. Asked main # for cust service got hung up on.,,2/23/15 11:14,5.69938e+17,,
1233,681450088,False,finalized,3,2/25/15 3:02,neutral,1.0,,,United,,AlMehairiAUH,,0,@United to start daily #B777-200ER flights from #Newark to #Frankfurt @airport_fra replacing #B767-400ER on 2JUL #avgeek,,2/23/15 6:58,5.69874e+17,Abu Dhabi,Abu Dhabi
4157,681454144,False,finalized,3,2/25/15 6:50,neutral,1.0,,,United,,michaelvandijk1,,0,"@united do you think there Will problems at Newark, NJ on Saturday due to expected snow?",,2/17/15 13:45,5.67802e+17,Nederland,Amsterdam
5106,681455103,False,finalized,3,2/25/15 10:07,negative,1.0,Customer Service Issue,0.6799,Southwest,,offroad437km,,0,@SouthwestAir been on hold over an hr to rebook a Cancelled Flighted flight. Do you have anyone working???,,2/21/15 19:47,5.69343e+17,,Central Time (US & Canada)
